Frame,ID,State,Confidence
44,19,SITTING,0.34
44,21,SITTING,0.12
44,22,STANDING,0.23
44,13,SITTING,0.37
45,1,SITTING,0.88
45,2,SITTING,0.84
45,3,STANDING,0.85
45,4,SITTING,0.73
45,5,STANDING,0.84
45,6,SITTING,0.68
45,7,SITTING,0.79
45,8,STANDING,0.7
45,9,STANDING,0.7
45,10,SITTING,0.73
45,11,STANDING,0.58
45,19,SITTING,0.45
45,21,SITTING,0.17
45,22,STANDING,0.27
45,13,SITTING,0.39
46,1,SITTING,0.87
46,2,SITTING,0.85
46,3,STANDING,0.87
46,4,SITTING,0.8
46,5,STANDING,0.85
46,6,SITTING,0.76
46,7,SITTING,0.8
46,8,STANDING,0.6
46,9,STANDING,0.57
46,10,SITTING,0.66
46,11,STANDING,0.7
46,13,SITTING,0.35
47,1,SITTING,0.87
47,2,SITTING,0.83
47,3,STANDING,0.87
47,4,SITTING,0.81
47,5,STANDING,0.85
47,6,SITTING,0.78
47,7,SITTING,0.79
47,8,STANDING,0.61
47,9,STANDING,0.57
47,10,SITTING,0.68
47,11,STANDING,0.69
47,13,SITTING,0.33
48,1,SITTING,0.86
48,2,SITTING,0.84
48,3,STANDING,0.87
48,4,SITTING,0.82
48,5,STANDING,0.85
48,6,SITTING,0.78
48,7,SITTING,0.81
48,8,STANDING,0.62
48,9,STANDING,0.58
48,10,SITTING,0.7
48,11,STANDING,0.67
48,13,SITTING,0.32
48,19,SITTING,0.27
49,1,SITTING,0.88
49,2,SITTING,0.76
49,3,STANDING,0.87
49,4,SITTING,0.81
49,5,STANDING,0.85
49,6,SITTING,0.77
49,7,SITTING,0.79
49,8,STANDING,0.6
49,9,STANDING,0.58
49,10,SITTING,0.69
49,11,STANDING,0.58
49,13,SITTING,0.32
49,19,SITTING,0.29
50,1,SITTING,0.86
50,2,SITTING,0.78
50,3,STANDING,0.87
50,4,SITTING,0.81
50,5,STANDING,0.85
50,6,SITTING,0.75
50,7,SITTING,0.82
50,8,STANDING,0.65
50,9,STANDING,0.64
50,10,SITTING,0.72
50,11,STANDING,0.63
50,13,SITTING,0.36
50,19,SITTING,0.18
51,1,SITTING,0.85
51,2,STANDING,0.75
51,3,STANDING,0.87
51,4,SITTING,0.82
51,5,STANDING,0.85
51,6,SITTING,0.74
51,7,SITTING,0.83
51,8,STANDING,0.64
51,9,STANDING,0.61
51,10,SITTING,0.75
51,11,STANDING,0.57
51,13,SITTING,0.39
52,1,SITTING,0.83
52,2,SITTING,0.79
52,3,STANDING,0.87
52,4,SITTING,0.8
52,5,STANDING,0.85
52,6,SITTING,0.73
52,7,SITTING,0.82
52,8,STANDING,0.64
52,9,STANDING,0.65
52,10,SITTING,0.73
52,11,STANDING,0.41
52,13,SITTING,0.34
53,1,SITTING,0.85
53,2,STANDING,0.74
53,3,STANDING,0.87
53,4,SITTING,0.81
53,5,STANDING,0.85
53,6,SITTING,0.71
53,7,SITTING,0.79
53,8,STANDING,0.65
53,9,STANDING,0.64
53,10,SITTING,0.73
53,11,STANDING,0.35
